Description,2017,2018,2019,2020,2021,2022,state,county
Real GDP (thousands of chained 2017 dollars) ,1762558,1787534,1730861,1722438,1727818,1929264,Alabama,Autauga
Chain-type quantity indexes for real GDP ,100.000,101.417,98.202,97.724,98.029,109.458,Alabama,Autauga
Current-dollar GDP (thousands of current dollars) ,1762558,1826642,1804013,1813553,1947622,2364891,Alabama,Autauga
Real GDP (thousands of chained 2017 dollars) ,7382558,7758980,8148786,8102009,8738819,8924207,Alabama,Baldwin
Chain-type quantity indexes for real GDP ,100.000,105.099,110.379,109.745,118.371,120.882,Alabama,Baldwin
Current-dollar GDP (thousands of current dollars) ,7382558,7935575,8563693,8762106,9879022,10811119,Alabama,Baldwin
Real GDP (thousands of chained 2017 dollars) ,761761,774076,762557,731636,747888,745349,Alabama,Barbour
Chain-type quantity indexes for real GDP ,100.000,101.617,100.105,96.045,98.179,97.846,Alabama,Barbour
Current-dollar GDP (thousands of current dollars) ,761761,789103,793908,786529,862519,930064,Alabama,Barbour
Real GDP (thousands of chained 2017 dollars) ,406741,397141,441359,460018,458049,448464,Alabama,Bibb
Chain-type quantity indexes for real GDP ,100.000,97.640,108.511,113.098,112.614,110.258,Alabama,Bibb
Current-dollar GDP (thousands of current dollars) ,406741,408791,466293,501320,528278,558848,Alabama,Bibb
Real GDP (thousands of chained 2017 dollars) ,987967,1046736,1014620,907179,1025600,1045845,Alabama,Blount
Chain-type quantity indexes for real GDP ,100.000,105.948,102.698,91.823,103.809,105.858,Alabama,Blount
Current-dollar GDP (thousands of current dollars) ,987967,1064218,1058218,973414,1153245,1282006,Alabama,Blount
Real GDP (thousands of chained 2017 dollars) ,244958,257012,266230,268773,258126,247403,Alabama,Bullock
Chain-type quantity indexes for real GDP ,100.000,104.921,108.684,109.722,105.375,100.998,Alabama,Bullock
Current-dollar GDP (thousands of current dollars) ,244958,259251,274471,285245,292169,294277,Alabama,Bullock
Real GDP (thousands of chained 2017 dollars) ,630225,653349,638217,603301,634002,652201,Alabama,Butler
Chain-type quantity indexes for real GDP ,100.000,103.669,101.268,95.728,100.599,103.487,Alabama,Butler
Current-dollar GDP (thousands of current dollars) ,630225,666661,658243,636591,732165,820976,Alabama,Butler
Real GDP (thousands of chained 2017 dollars) ,4244400,4342966,4555074,4461364,4624647,4608415,Alabama,Calhoun
Chain-type quantity indexes for real GDP ,100.000,102.322,107.320,105.112,108.959,108.576,Alabama,Calhoun
Current-dollar GDP (thousands of current dollars) ,4244400,4456595,4755016,4727646,5142683,5466368,Alabama,Calhoun
Real GDP (thousands of chained 2017 dollars) ,872734,909826,938023,880665,871486,894548,Alabama,Chambers
Chain-type quantity indexes for real GDP ,100.000,104.250,107.481,100.909,99.857,102.500,Alabama,Chambers
Current-dollar GDP (thousands of current dollars) ,872734,921262,962243,922772,945282,1031827,Alabama,Chambers
Real GDP (thousands of chained 2017 dollars) ,558805,592093,575624,536093,595234,606899,Alabama,Cherokee
Chain-type quantity indexes for real GDP ,100.000,105.957,103.010,95.936,106.519,108.607,Alabama,Cherokee
Current-dollar GDP (thousands of current dollars) ,558805,600426,594576,566821,663952,735077,Alabama,Cherokee
Real GDP (thousands of chained 2017 dollars) ,983589,1032448,1114286,1065893,1086812,1077591,Alabama,Chilton
Chain-type quantity indexes for real GDP ,100.000,104.967,113.288,108.368,110.495,109.557,Alabama,Chilton
Current-dollar GDP (thousands of current dollars) ,983589,1055223,1160363,1140799,1244667,1323268,Alabama,Chilton
Real GDP (thousands of chained 2017 dollars) ,556183,602860,559692,561198,573867,611338,Alabama,Choctaw
Chain-type quantity indexes for real GDP ,100.000,108.393,100.631,100.902,103.180,109.917,Alabama,Choctaw
Current-dollar GDP (thousands of current dollars) ,556183,618087,573825,567074,623207,750095,Alabama,Choctaw
Real GDP (thousands of chained 2017 dollars) ,814115,843518,835887,848612,845024,817215,Alabama,Clarke
Chain-type quantity indexes for real GDP ,100.000,103.612,102.674,104.237,103.797,100.381,Alabama,Clarke
Current-dollar GDP (thousands of current dollars) ,814115,870605,868734,902889,1001880,1058878,Alabama,Clarke
Real GDP (thousands of chained 2017 dollars) ,393577,467788,425949,425117,433167,433948,Alabama,Clay
Chain-type quantity indexes for real GDP ,100.000,118.855,108.225,108.014,110.059,110.257,Alabama,Clay
Current-dollar GDP (thousands of current dollars) ,393577,470352,444690,458658,474470,519697,Alabama,Clay
Real GDP (thousands of chained 2017 dollars) ,302289,308867,285759,280954,316333,332525,Alabama,Cleburne
Chain-type quantity indexes for real GDP ,100.000,102.176,94.532,92.942,104.646,110.002,Alabama,Cleburne
Current-dollar GDP (thousands of current dollars) ,302289,317240,295019,289540,359660,420383,Alabama,Cleburne
Real GDP (thousands of chained 2017 dollars) ,1426217,1460880,1441716,1406676,1607264,1641541,Alabama,Coffee
Chain-type quantity indexes for real GDP ,100.000,102.430,101.087,98.630,112.694,115.098,Alabama,Coffee
Current-dollar GDP (thousands of current dollars) ,1426217,1482319,1495578,1501770,1784875,1942192,Alabama,Coffee
Real GDP (thousands of chained 2017 dollars) ,2453731,2565631,2570117,2532200,2551784,2635868,Alabama,Colbert
Chain-type quantity indexes for real GDP ,100.000,104.560,104.743,103.198,103.996,107.423,Alabama,Colbert
Current-dollar GDP (thousands of current dollars) ,2453731,2651287,2670772,2626897,2828492,3158864,Alabama,Colbert
Real GDP (thousands of chained 2017 dollars) ,439777,405083,391837,366987,379476,350708,Alabama,Conecuh
Chain-type quantity indexes for real GDP ,100.000,92.111,89.099,83.448,86.288,79.747,Alabama,Conecuh
Current-dollar GDP (thousands of current dollars) ,439777,434763,402124,355503,446962,501497,Alabama,Conecuh
Real GDP (thousands of chained 2017 dollars) ,185492,194981,190197,176564,177586,197269,Alabama,Coosa
Chain-type quantity indexes for real GDP ,100.000,105.115,102.536,95.187,95.738,106.349,Alabama,Coosa
Current-dollar GDP (thousands of current dollars) ,185492,198253,199529,189787,199641,239328,Alabama,Coosa
Real GDP (thousands of chained 2017 dollars) ,1269561,1274429,1209690,1211960,1252767,1229523,Alabama,Covington
Chain-type quantity indexes for real GDP ,100.000,100.383,95.284,95.463,98.677,96.846,Alabama,Covington
Current-dollar GDP (thousands of current dollars) ,1269561,1302093,1264467,1290584,1428037,1529252,Alabama,Covington
Real GDP (thousands of chained 2017 dollars) ,441726,476010,464820,377517,417294,443859,Alabama,Crenshaw
Chain-type quantity indexes for real GDP ,100.000,107.761,105.228,85.464,94.469,100.483,Alabama,Crenshaw
Current-dollar GDP (thousands of current dollars) ,441726,476741,471983,389206,442428,516679,Alabama,Crenshaw
Real GDP (thousands of chained 2017 dollars) ,2827288,2845911,2921760,2807266,3020298,3112513,Alabama,Cullman
Chain-type quantity indexes for real GDP ,100.000,100.659,103.341,99.292,106.827,110.088,Alabama,Cullman
Current-dollar GDP (thousands of current dollars) ,2827288,2896605,3037792,2987793,3375707,3826972,Alabama,Cullman
Real GDP (thousands of chained 2017 dollars) ,2834970,2790050,2806488,2784502,2891514,2884753,Alabama,Dale
Chain-type quantity indexes for real GDP ,100.000,98.416,98.995,98.220,101.995,101.756,Alabama,Dale
Current-dollar GDP (thousands of current dollars) ,2834970,2847797,2929164,2963202,3181381,3370503,Alabama,Dale
Real GDP (thousands of chained 2017 dollars) ,1246698,1252898,1263447,1250079,1259154,1196269,Alabama,Dallas
Chain-type quantity indexes for real GDP ,100.000,100.497,101.343,100.271,100.999,95.955,Alabama,Dallas
Current-dollar GDP (thousands of current dollars) ,1246698,1274867,1304892,1309472,1392497,1438621,Alabama,Dallas
