State,County Name,Electric Commercial Rate
Alabama,Colbert,
Alabama,Jackson,
Alabama,Lauderdale,
Alabama,Limestone,
Alabama,Madison,
Arizona,Graham,
Colorado,Cheyenne,
Colorado,Dolores,
Colorado,Kit Carson,
Colorado,Logan,
Colorado,Montezuma,
Colorado,Morgan,
Colorado,Ouray,
Colorado,Phillips,
Colorado,San Miguel,
Colorado,Sedgwick,
Colorado,Washington,
Colorado,Yuma,
Connecticut,Fairfield,
Connecticut,Hartford,
Connecticut,Litchfield,
Connecticut,Middlesex,
Connecticut,New Haven,
Connecticut,New London,
Connecticut,Tolland,
Connecticut,Windham,
District of Columbia,District of Columbia,
Georgia,Fannin,
Georgia,Quitman,
Georgia,Randolph,
Idaho,Boundary,
Indiana,Ohio,
Indiana,Whitley,
Kansas,Barber,
Kansas,Barton,
Kansas,Cheyenne,
Kansas,Clark,
Kansas,Comanche,
Kansas,Decatur,
Kansas,Edwards,
Kansas,Ellis,
Kansas,Ellsworth,
Kansas,Finney,
Kansas,Ford,
Kansas,Gove,
Kansas,Graham,
Kansas,Grant,
Kansas,Gray,
Kansas,Greeley,
Kansas,Harper,
Kansas,Haskell,
Kansas,Hodgeman,
Kansas,Jewell,
Kansas,Kearny,
Kansas,Kiowa,
Kansas,Lane,
Kansas,Logan,
Kansas,Meade,
Kansas,Mitchell,
Kansas,Morton,
Kansas,Ness,
Kansas,Norton,
Kansas,Osborne,
Kansas,Pawnee,
Kansas,Phillips,
Kansas,Pratt,
Kansas,Rawlins,
Kansas,Republic,
Kansas,Rooks,
Kansas,Rush,
Kansas,Russell,
Kansas,Scott,
Kansas,Seward,
Kansas,Sheridan,
Kansas,Sherman,
Kansas,Smith,
Kansas,Stafford,
Kansas,Stanton,
Kansas,Stevens,
Kansas,Thomas,
Kansas,Trego,
Kansas,Wallace,
Kansas,Wichita,
Kentucky,Allen,
Kentucky,Breckinridge,
Kentucky,Butler,
Kentucky,Calloway,
Kentucky,Clinton,
Kentucky,Cumberland,
Kentucky,Elliott,
Kentucky,Graves,
Kentucky,Hancock,
Kentucky,Jackson,
Kentucky,Logan,
Kentucky,Marshall,
Kentucky,Metcalfe,
Kentucky,Monroe,
Kentucky,Powell,
Kentucky,Simpson,
Kentucky,Todd,
Kentucky,Wayne,
Kentucky,Wolfe,
Louisiana,Cameron,
Louisiana,East Feliciana,
Louisiana,West Baton Rouge,
Maine,Androscoggin,
Maine,Aroostook,
Maine,Cumberland,
Maine,Franklin,
Maine,Hancock,
Maine,Kennebec,
Maine,Knox,
Maine,Lincoln,
Maine,Oxford,
Maine,Penobscot,
Maine,Piscataquis,
Maine,Sagadahoc,
Maine,Somerset,
Maine,Waldo,
Maine,Washington,
Maine,York,
Maryland,Charles,
