county,state,area mi2,Wind Capacity Intensity (MW / 1000 sq mile),Wind Project Intensity (Projects / 1000 sq mile),GDP_2017,GDP_2018,GDP_2019,GDP_2020,GDP_2021,GDP_2022,Solar MW 1000 sq mile,Solar Projects 1000 sq mile,No. of Private Schools,Median Income,Total Unemployment,Unemployment Rate,Hispanic/Latino,White,Black/African American,American Indian/Alaska Native,Asian,Native Hawaiian/Other Pacific Islander,Others,democrat_percentage_vote,republican_percentage_vote,green_percentage_vote,libertarian_percentage_vote,other_percentage_vote,18-24 Less than high school graduate,18-24 High school graduate,18-24 Some college or associate's degree,18-24 Bachelor's degree or higher,25+ Less than 9th grade,"25+ 9th to 12th grade, no diploma",25+ High school graduate,"25+ Some college, no degree",25+ Associate's degree,25+ Bachelor's degree,25+ Graduate or professional degree,25+ High school graduate or higher,25+ Bachelor's degree or higher
Autauga,Alabama,604.3742473160263,0.0,0.0,2916.34,2957.66,2863.89,2849.95,2858.85,3192.17,0.0,0.0,5.0,62660,47146,2.8,0.036000340107133745,0.7071167417736587,0.19304480911487118,0.003128985630473599,0.014845676388062239,0.00037411784712184336,0.04382280418331775,0.27018365142239825,0.714368023046453,,,0.015448325531148721,13.8,35.5,40.5,10.3,1.7,7.9,31.1,21.0,8.7,16.7,12.8,90.4,29.6
Baldwin,Alabama,1680.527705738507,0.0,0.0,4393.0,4616.99,4848.94,4821.11,5200.04,5310.36,0.0,0.0,11.0,64346,189569,3.4,0.05473600642024102,0.8046658929010602,0.07766852054002511,0.00557024943154116,0.008754481871879948,0.0005263907286196913,0.04628355201560188,0.22409029987509005,0.7617137282433283,,,0.014195971881581707,16.1,39.6,35.2,9.1,2.0,6.4,27.8,21.7,9.6,20.0,12.5,91.6,32.6
Barbour,Alabama,904.461557395602,0.0,0.0,842.23,855.84,843.11,808.92,826.89,824.08,0.0,0.0,1.0,36422,20399,5.8,0.05986599532173017,0.43951948618324543,0.46980930103476987,0.0022994885620267217,0.004083574515323316,0.0,0.023629227292550452,0.45788172656398557,0.5345122646891044,,,0.007606008746910059,17.7,38.6,40.1,3.6,7.3,16.2,36.8,19.9,7.9,6.6,5.3,76.5,11.9
Bibb,Alabama,626.3716027086089,0.0,0.0,649.36,634.03,704.63,734.42,731.27,715.97,0.0,0.0,,54277,18046,8.7,0.03319427623020679,0.7375409321311622,0.19692280087919975,0.0017494280715919794,0.0011662853810613196,0.0004037141703673799,0.027631992105145112,0.20698280354351226,0.7842626367899947,,,0.008754559666492965,13.8,52.5,30.7,3.0,6.4,14.7,40.9,19.1,8.0,6.6,4.3,78.9,10.9
Blount,Alabama,650.6197351910813,0.0,0.0,1518.5,1608.83,1559.47,1394.33,1576.34,1607.46,0.0,0.0,2.0,52830,47261,6.0,0.09759190989955017,0.8415463185307944,0.013968275442215985,0.003179220076436568,0.002942469645212568,0.00018601819596171407,0.03928366083809653,0.09569377990430622,0.8957155284906481,,,0.008590691605045673,17.4,43.0,35.8,3.8,7.1,11.1,35.3,20.7,11.0,9.4,5.3,81.8,14.7
Bullock,Alabama,625.1585575399325,0.0,0.0,391.83,411.11,425.86,429.93,412.9,395.74,0.0,0.0,1.0,29063,8376,3.7,0.04856618711982234,0.22023752051752438,0.7133339770203727,9.655305590421937e-05,0.0008689775031379744,0.0006758713913295356,0.014000193106111808,0.7470192933015392,0.24842835464990246,,,0.004552352048558422,24.3,42.7,30.0,3.0,9.9,16.7,41.3,19.5,3.2,6.9,2.5,73.4,9.4
Butler,Alabama,777.7721201144336,0.0,0.0,810.3,840.03,820.57,775.68,815.15,838.55,0.0,0.0,1.0,45236,15203,6.8,0.01364757755498399,0.5080573198257309,0.4403443388798488,0.0012072857067870453,0.007506167655241195,0.0002624534145189229,0.027190173744160412,0.4178962900505902,0.5752529510961214,,,0.006850758853288365,11.3,55.8,29.3,3.6,3.9,8.5,48.0,19.1,7.4,7.8,5.3,87.6,13.0
Calhoun,Alabama,612.2507991048649,0.0,0.0,6932.45,7093.44,7439.88,7286.82,7553.52,7527.01,0.012086550169994218,0.001633317590539759,7.0,50977,94627,6.9,0.04302608187837617,0.6829123762248692,0.21783564208483266,0.0033149835539028347,0.009996478903479015,0.0009618605130495273,0.04012332425863742,0.29845242531824334,0.6884843967597042,,,0.013063177922052449,11.4,36.1,45.7,6.8,4.4,10.5,34.6,23.2,8.1,11.5,7.6,85.1,19.2
Chambers,Alabama,603.1830056261741,0.0,0.0,1446.88,1508.37,1555.12,1460.03,1444.81,1483.05,0.13130343405113212,0.001657871642059749,4.0,47232,28036,3.6,0.03557460025307719,0.5353732888531002,0.3865466467272518,0.0020418727711952146,0.011072126998734614,0.00031634648567813184,0.027435867939721616,0.41644857367181365,0.5726903951845067,,,0.010861031143679666,11.3,39.2,46.6,2.9,5.8,10.8,39.5,20.3,10.9,9.2,3.5,83.5,12.7
Cherokee,Alabama,599.9390274122812,0.0,0.0,931.44,986.92,959.47,893.58,992.16,1011.6,0.0,0.0,,43475,20956,4.0,0.01601858155460334,0.9035681390412879,0.03952584998598374,0.00436506347362941,0.002202554963757959,4.004645388650835e-05,0.0335989748107805,0.13202178684659785,0.8603365580034144,,,0.007641655149987806,10.8,49.1,36.2,3.8,6.6,11.5,36.1,19.3,12.0,8.3,6.3,81.9,14.6
