GHI,Protected_Land,Habitat,Slope,Population_Density,Distance_to_Substation,Land_Cover,geometry,Wattage,GEOID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-70.9739 42.450000000000074 0),2.1,250092072001,25,009,207200,1
15.0,80.3254582884031,52.38653073228115,54.48934050607691,100.0,52.16155278894226,92.3343789824527,POINT Z (-116.82762700000005 34.863356000000074 0),20.0,060710103004,06,071,010300,4
15.0,80.3254582884031,52.38653073228115,54.48934050607691,100.0,52.16155278894226,92.3343789824527,POINT Z (-116.82762700000005 34.863356000000074 0),13.8,060710103004,06,071,010300,4
15.0,65.28575629840212,73.76678756984609,30.157339736897057,100.0,64.59317713949613,94.07714929908832,POINT Z (-117.35630000000009 35.03080000000018 0),80.0,060710116021,06,071,011602,1
15.0,64.54465248505049,73.68444270169591,33.102198027937554,100.0,67.76541515537693,94.33300656798353,POINT Z (-117.33800000000005 35.0330000000001 0),88.0,060710116021,06,071,011602,1
15.0,44.09769250062704,58.67120870502892,12.593485342019545,100.0,50.09802960494069,60.816782668365846,POINT Z (-112.40080000000005 34.6584000000001 0),3.0,040250003021,04,025,000302,1
20.0,74.96127830604843,70.2406626801294,65.43760112177759,94.49416723850602,58.33692775218116,88.92588961866484,POINT Z (-114.98173000000006 35.7997980000001 0),68.5,320030057032,32,003,005703,2
90.0,93.52465444564258,59.60052935986668,87.18812667527052,100.0,50.0,91.88040388197236,POINT Z (-105.88050100000005 37.69030400000003 0),7.7,080039600001,08,003,960000,1
20.0,60.59798059013822,41.074404470149986,92.05523940345368,100.0,50.21811587099304,89.99656896382707,POINT Z (-115.05440000000007 36.26027800000005 0),14.0,320030060011,32,003,006001,1
100.0,100.0,100.0,100.0,100.0,50.0,100.0,POINT Z (-156.9233000000001 20.766700000000043 0),1.2,150090316011,15,009,031601,1
15.0,95.82687971767474,66.76747377708068,39.97449262504159,91.86452308597197,63.84423095774924,86.25458288403098,POINT Z (-120.36580000000012 36.75750000000015 0),5.0,060190083013,06,019,008301,3
20.0,96.37094402509558,65.52347809038329,97.93128124693658,94.61523380060778,64.16576806195471,89.37515929810803,POINT Z (-112.95594000000004 32.92229400000021 0),295.6,040137233052,04,013,723305,2
15.0,78.77070875404372,44.21674345652387,20.150272080368357,100.0,50.0,69.51279286344476,POINT Z (-119.7416650000001 36.80984100000012 0),1.0,060190054081,06,019,005408,1
15.0,86.06607195373003,56.13616312126262,70.65763342987174,100.0,50.0,92.29879423585923,POINT Z (-118.14805600000007 34.0402780000001 0),0.8,060375304001,06,037,530400,1
